vehicles,cores,seed,completion_rate,loss_rate,p50_ns,p90_ns,p99_ns,p999_ns,max_ns,max_queue_depth,utilization,deadline_ns,mean_verify_ns
100,2,8,1.000000,0.000000,33783807,43319295,48693247,48824319,48824319,32,0.991662,100000000,2905894.0
100,2,9,1.000000,0.000000,29278207,49643519,53542911,54427647,54427647,36,0.948747,100000000,2905894.0
100,2,10,1.000000,0.000000,30490623,43745279,48857087,51511295,51511295,33,0.968131,100000000,2905894.0
100,4,1,1.000000,0.000000,3571711,5107711,5664767,5963775,5963775,4,0.690058,100000000,2905894.0
100,4,2,1.000000,0.000000,3500031,5287935,6017023,6266879,6266879,4,0.717605,100000000,2905894.0
100,4,3,1.000000,0.000000,3491839,5791743,7626751,8200191,8200191,7,0.692648,100000000,2905894.0
100,4,4,1.000000,0.000000,3450879,4276223,4882431,5451775,5451775,2,0.715729,100000000,2905894.0
100,4,5,1.000000,0.000000,3510271,4935679,5550079,5648383,5648383,4,0.702339,100000000,2905894.0
100,4,6,1.000000,0.000000,3463167,4431871,5484543,5685247,5685247,3,0.701995,100000000,2905894.0
100,4,7,1.000000,0.000000,3504127,5758975,6930431,7110655,7110655,7,0.706162,100000000,2905894.0
100,4,8,1.000000,0.000000,3483647,5009407,6742015,6758399,6758399,5,0.719177,100000000,2905894.0
100,4,9,1.000000,0.000000,3639295,5029887,6754303,6955007,6955007,6,0.701127,100000000,2905894.0
100,4,10,1.000000,0.000000,3559423,6742015,8036351,8183807,8183807,7,0.691699,100000000,2905894.0
100,8,1,1.000000,0.000000,3432447,3567615,3653631,3776511,3776511,0,0.353657,100000000,2905894.0
100,8,2,1.000000,0.000000,3405823,3551231,4280319,4464639,4464639,0,0.361275,100000000,2905894.0
100,8,3,1.000000,0.000000,3387391,3545087,3604479,3614719,3614719,0,0.351233,100000000,2905894.0
100,8,4,1.000000,0.000000,3407871,3581951,3674111,4476927,4476927,0,0.357653,100000000,2905894.0
100,8,5,1.000000,0.000000,3401727,3543039,3614719,3633151,3633151,0,0.358209,100000000,2905894.0
100,8,6,1.000000,0.000000,3407871,3538943,3655679,3741695,3741695,0,0.351678,100000000,2905894.0
100,8,7,1.000000,0.000000,3434495,3579903,3780607,4132863,4132863,2,0.352642,100000000,2905894.0
100,8,8,1.000000,0.000000,3405823,3545087,4337663,4382719,4382719,0,0.357634,100000000,2905894.0
100,8,9,1.000000,0.000000,3403775,3551231,3704831,4313087,4313087,1,0.353501,100000000,2905894.0
100,8,10,1.000000,0.000000,3409919,3532799,3641343,3659775,3659775,0,0.354197,100000000,2905894.0
