profile,mechanism,epsilon,delta,n_observations,auc,auc_ci_lo,auc_ci_hi,advantage,advantage_ci_lo,advantage_ci_hi,train_windows,test_windows,train_pool,test_pool,emulated
p1,m-geo,1.0,1e-06,1,0.5381237777777779,0.5177698673096102,0.558981950516275,0.07624755555555573,0.03553973461922033,0.11796390103254994,3000,3000,8000,8000,False
p1,m-geo,1.0,1e-06,4,0.5648755555555555,0.5450153555165598,0.5854657896100245,0.12975111111111093,0.09003071103311955,0.17093157922004898,3000,3000,8000,8000,False
p1,m-geo,1.0,1e-06,16,0.6843351111111111,0.6660179754484303,0.7030096660652605,0.36867022222222223,0.33203595089686067,0.406019332130521,3000,3000,8000,8000,False
p1,m-geo,1.0,1e-06,64,0.8143324444444444,0.7997561086048974,0.8297234894828036,0.6286648888888888,0.5995122172097949,0.6594469789656072,3000,3000,8000,8000,False
p1,m-geo,1.0,1e-06,256,0.9457784444444444,0.9378251422813081,0.9534768457256444,0.8915568888888887,0.8756502845626162,0.9069536914512888,3000,3000,8000,8000,False
p1,m-bucket,1.0,1e-06,1,0.5030042222222223,0.4869874632083229,0.5192191352684722,0.006008444444444594,0.026025073583354152,0.038438270536944374,3000,3000,8000,8000,False
p1,m-bucket,1.0,1e-06,4,0.514118,0.4932034967435154,0.5346069698400315,0.028235999999999928,0.013593006512969241,0.06921393968006306,3000,3000,8000,8000,False
p1,m-bucket,1.0,1e-06,16,0.502207111111111,0.48181771565640785,0.5234130975138954,0.004414222222222097,0.036364568687184295,0.04682619502779084,3000,3000,8000,8000,False
p1,m-bucket,1.0,1e-06,64,0.49318511111111113,0.4730800862228629,0.514651921314274,0.01362977777777774,0.029303842628547905,0.05383982755427419,3000,3000,8000,8000,False
p1,m-bucket,1.0,1e-06,256,0.5606644444444444,0.5399229936397523,0.5809576435743289,0.12132888888888882,0.07984598727950454,0.16191528714865777,3000,3000,8000,8000,False
p1,m-geo,2.0,1e-06,1,0.5891615555555556,0.5686874538057719,0.6083919327576467,0.1783231111111112,0.1373749076115438,0.21678386551529338,3000,3000,8000,8000,False
p1,m-geo,2.0,1e-06,4,0.6575053333333333,0.6386369627384421,0.6768793270884071,0.31501066666666655,0.2772739254768841,0.3537586541768143,3000,3000,8000,8000,False
p1,m-geo,2.0,1e-06,16,0.7862404444444444,0.769656105709445,0.8028220829992664,0.5724808888888888,0.53931221141889,0.6056441659985328,3000,3000,8000,8000,False
p1,m-geo,2.0,1e-06,64,0.9499822222222221,0.9429236102299152,0.9566958857503657,0.8999644444444441,0.8858472204598304,0.9133917715007314,3000,3000,8000,8000,False
p1,m-geo,2.0,1e-06,256,0.9972951111111111,0.9951434789973475,0.9990268451555714,0.9945902222222223,0.9902869579946949,0.9980536903111428,3000,3000,8000,8000,False
p1,m-bucket,2.0,1e-06,1,0.5023495555555555,0.48671242905911555,0.517916151128564,0.004699111111110987,0.026575141881768904,0.03583230225712808,3000,3000,8000,8000,False
p1,m-bucket,2.0,1e-06,4,0.5097757777777778,0.48993698022501203,0.5289832306905616,0.019551555555555655,0.020126039549975938,0.05796646138112327,3000,3000,8000,8000,False
p1,m-bucket,2.0,1e-06,16,0.5099088888888889,0.4894470154041899,0.5305260381267034,0.019817777777777712,0.021105969191620222,0.061052076253406806,3000,3000,8000,8000,False
p1,m-bucket,2.0,1e-06,64,0.5117708888888889,0.4915067101493375,0.5329510647586214,0.023541777777777773,0.016986579701325,0.06590212951724284,3000,3000,8000,8000,False
p1,m-bucket,2.0,1e-06,256,0.4619851111111112,0.44214662345954253,0.48305635940627223,0.07602977777777764,0.03388728118745554,0.11570675308091494,3000,3000,8000,8000,False
p1,m-geo,5.0,1e-06,1,0.675583111111111,0.6563582966910247,0.6941223292860867,0.35116622222222205,0.3127165933820495,0.3882446585721735,3000,3000,8000,8000,False
p1,m-geo,5.0,1e-06,4,0.826472,0.8120420537095907,0.8406748555743229,0.652944,0.6240841074191814,0.6813497111486457,3000,3000,8000,8000,False
p1,m-geo,5.0,1e-06,16,0.9588631111111111,0.9518982265649868,0.9655876584781931,0.9177262222222222,0.9037964531299736,0.9311753169563861,3000,3000,8000,8000,False
p1,m-geo,5.0,1e-06,64,0.9998437777777778,0.9996919531509885,0.999953343567989,0.9996875555555556,0.9993839063019769,0.9999066871359781,3000,3000,8000,8000,False
p1,m-geo,5.0,1e-06,256,1.0,1.0,1.0,1.0,1.0,1.0,3000,3000,8000,8000,False
p1,m-bucket,5.0,1e-06,1,0.5056364444444446,0.5014504673833385,0.5098679964083684,0.01127288888888911,0.002900934766677077,0.01973599281673688,3000,3000,8000,8000,False
p1,m-bucket,5.0,1e-06,4,0.513136,0.5042433342233117,0.5224474044144394,0.026272000000000073,0.00848666844662338,0.04489480882887875,3000,3000,8000,8000,False
p1,m-bucket,5.0,1e-06,16,0.5599522222222222,0.5449337280348798,0.5754178788783061,0.11990444444444437,0.08986745606975965,0.15083575775661218,3000,3000,8000,8000,False
p1,m-bucket,5.0,1e-06,64,0.660164666666667,0.6418767287345178,0.6782626658422912,0.3203293333333339,0.2837534574690357,0.35652533168458245,3000,3000,8000,8000,False
p1,m-bucket,5.0,1e-06,256,0.857609111111111,0.8450515666666665,0.87022985097493,0.7152182222222221,0.690103133333333,0.74045970194986,3000,3000,8000,8000,False
